screen,name,full_prompt,composition_notes,size
board,board_base,"top-down view of a vast weathered dark grey stone table surface, subtle cracked slate tiles, faint black watercolor stains, very dark and quiet, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text, no characters, no objects","Full-bleed backdrop (M1). Must stay VERY quiet and dark — everything else layers on top. Even texture, no focal points, corners slightly darker (vignette).",2048x1152
board,board_playmat_center,"ornate rectangular stone play mat inlaid into a dark slate table, carved weathered grey stone border with dark green thorny vines creeping over the corners, interior is a plain darker slate surface crossed by two faint horizontal recessed bands where card rows sit, faint octagonal inlay at the very center between the bands, top-down view, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text, no characters","M2 (swap per aspect pair later). Decorated BORDER only — interior must be flat and quiet: ONE unit row of 6 sockets per side overlays the two bands (champion fights in-row). Center may hint the octagon emblem, faint, contrast kept low.",2048x1536
board,board_rail_side,"vertical weathered stone rail shelf at the edge of a dark slate table, carved recesses sized for stacks of cards, thin dark green vine trim along the outer edge, top-down view, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text, no characters","M3, generate once and mirror for the left/right rails. Recesses read as deck / discard / consumed wells; keep them empty and even. Outer edge darker so it blends into board_base.",1024x2048
board,board_corner_crow_roost,"a small stone gargoyle perch with a carved crow statue and thorny vines, viewed from above at a slight angle, sitting on dark slate, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M4 corner diorama A (Hearthstone-style flavor corner). Object centered with generous dark slate margin all around so we can feather-blend the edges into board_base.",1024x1024
board,board_corner_candles,"a cluster of melted black candles with faint green flames on a stone dish, wax dripping onto dark slate, viewed from above, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M4 corner diorama B. Same margin rule. The green flame is the only saturated accent allowed.",1024x1024
board,board_corner_tomes,"a short stack of worn leather grimoires with a raven feather quill and ink pot on dark slate, viewed from above, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M4 corner diorama C. Same margin rule.",1024x1024
board,board_corner_bones,"scattered old bones and a cracked skull half sunk in dark moss on slate stone, thorny vine curling through an eye socket, viewed from above, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M4 corner diorama D. Same margin rule.",1024x1024
board,slot_field_socket,"a single empty square stone socket recessed into dark slate, carved weathered grey border with tiny thorny vine details on two corners, plain dark interior, viewed from directly above, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M5. One socket sprite reused for all ten UNIT sockets (5 per side around the champion). Interior must be a flat dark fill (cards render on top). Generate on plain slate background for clean cropping.",1024x1024
board,slot_champion_plate,"an ornate rectangular stone socket with an octagonal crest at its top edge, recessed into dark slate, carved crow motifs around the rim, weathered grey with dark green vine trim, plain dark interior, viewed from directly above, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M5. Champion socket, one per side, sits IN the unit row (center) — slightly larger and more ornate than the unit sockets; octagon crest echoes the card back emblem.",1024x1024
board,board_center_emblem,"a carved stone octagon medallion with ten small round gem sockets around its rim and two stylized crows circling it, inlaid flush into dark slate, viewed from directly above, hand-drawn dark fantasy board game illustration, bold black ink outlines, muted desaturated colors, rough watercolor texture shading, grim storybook style, no text","M6. Matches the CARD BACK VERSE art (two crows + octagon + 10 gems). Sits at board center between the two field rows; low contrast so it never fights the cards.",1024x1024
